title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
LLM-empowered knowledge graph construction: A survey,H Bian,2025,19,"… research spanning ontology engineering, knowledge extraction… 2025) adopts a multi-agent architecture, in which each agent … 2024) exemplifies this paradigm: its Extract stage uses few-…",9uNXgMKoJtMJ,"H Bian - arXiv preprint arXiv:2510.20345, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.20345,unknown,unknown
… Ontologies and Knowledge Augmented Large Language Models to Industrial Automation: A Decision-Making Guidance for Achieving Human-Robot Collaboration in …,"J Oyekan, C Turner, M Bax, E Graf",2025,9,"… is often required in order to achieve a knowledge graph. In … These architectures apply LLM’s strength in world knowledge … In constructing this table, we made use of the 2024 data from …",54B3DN_RHWYJ,"J Oyekan, C Turner, M Bax, E Graf - arXiv preprint arXiv:2505.18553, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.18553,unknown,unknown
An LLM and Embeddings-Based Multi-agentic System for Knowledge Graph Construction and Verification,"MR Martínez Rodríguez, A Nouri, Z Fei…",2025,0,… approaches to Knowledge Graph and Ontology Engineering (… representations for Knowledge Graph Construction (KGC) … LLM-powered agents collaborate with deterministic agents in …,S4U7NqmRnWAJ,"MR Martínez Rodríguez, A Nouri, Z Fei… - … Practice of Multi-Agent …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-13562-9_31,unknown,unknown
Ontology Engineering with Large Language Models: Unveiling the potential of human-LLM collaboration in the ontology extension process,"J García-Fernández, J Verhoosel, J Ubacht, RM Bakker",2025,5,"… text to knowledge graph: Comparing relation extraction methods in a practical context, in: First International Workshop on Generative Neuro-Symbolic AI, co-located with ESWC, 2024. …",tAhy8U2PHaYJ,"J García-Fernández, J Verhoosel, J Ubacht, RM Bakker - extraction, 2025 - ceur-ws.org",[],https://ceur-ws.org/Vol-4020/Paper_ID_8.pdf,unknown,unknown
From Text to Trust: An LLM Multi-Agent System with Embedding Verification for ADAS Knowledge Graph Construction,"M Rodríguez, M Rossana",2025,1,"… et al., 2024). Recognizing these factors, and inspired by the potential of collaborative agent-based systems shown to be effective for complex KG curation tasks (Krishna et al., 2024), …",Zxli_KCOTwUJ,"M Rodríguez, M Rossana - 2025 - diva-portal.org",[],https://www.diva-portal.org/smash/record.jsf?pid=diva2:1972482,unknown,unknown
A collaborative Multi-Agent LLM Approach for Knowledge Graph Curation and query from multimodal data sources,"A Krishna, C Malhotra, AP Shinde",2025,6,"… agent, a domain model populator agent, a knowledge graph generator agent,and a knowledge graph query agent … In 2024 36th Chinese Control and Decision Conference (CCDC), pp. …",ojcVlx0SEiEJ,"A Krishna, C Malhotra, AP Shinde - 2025 - openreview.net",[],https://openreview.net/forum?id=qXwVXj03nO,unknown,unknown
Knowledge graphs and their reciprocal relationship with large language models,"RS Dehal, M Sharma, E Rajabi",2025,39,"… Other studies such as Zhu et al., 2024, highlight how KGs serve as inputs to LLM … Model” and “Knowledge Graph” to capture a wide range of studies on LLM and KG integration. In this …",tUQyjHQufIAJ,"RS Dehal, M Sharma, E Rajabi - Machine Learning and Knowledge …, 2025 - mdpi.com",[],https://www.mdpi.com/2504-4990/7/2/38,unknown,unknown
Knowledge engineering with LLMs for asset information management in the built environment,"M Boscariol, S Meschini, LC Tagliabue",2025,0,"… being explored in ontology engineering, KG completion, and … understanding of LLM behaviour in knowledge extraction, by … The final step is knowledge graph usability validation, placed …",MjvSCp58UC4J,"M Boscariol, S Meschini, LC Tagliabue - … and Construction, 2025 - emerald.com",[],https://www.emerald.com/jsmic/article/doi/10.1680/jsmic.24.00035/1274963,unknown,unknown
LLM-Driven Multi-Agent Inspection Planning via Semantically Enriched Knowledge Graphs for Non-Destructive Testing,"GAJ Zia, A Valdestilhas, BM Torres, S Kruschwitz",2025,0,"… However, the 2024 approach was limited to off-line knowledge … Our semantic knowledge graph has been extended and … Hitzler, Accelerating knowledge graph and ontology engineering …",EaQUhECPacYJ,"GAJ Zia, A Valdestilhas, BM Torres, S Kruschwitz - 2025 - ceur-ws.org",[],https://ceur-ws.org/Vol-4104/paper2.pdf,unknown,unknown
Towards next-generation urban decision support systems through ai-powered construction of scientific ontology using large language models—a case in …,"J Tupayachi, H Xu, OA Omitaomu, MC Camur…",2024,78,"… of ontology engineering, supporting the reuse, re-engineering… a need to test the LLM-ontology capabilities on more complex … the knowledge graph that includes both the generated pizza …",xFDn9rmkrEIJ,"J Tupayachi, H Xu, OA Omitaomu, MC Camur… - Smart Cities, 2024 - mdpi.com",[],https://www.mdpi.com/2624-6511/7/5/94,unknown,unknown
An Onto-LLM-based framework for automating construction supervision specification knowledge graph generation,"B Wang, Y Liu, B Chen, Y Liu, Z Gao…",2025,0,… external knowledge enhancement and multi-agent collaboration … framework integrating ontology engineering and LLMs. … via llm-assisted knowledge graph construction//2024 IEEE 18th …,UM_qbwD1krYJ,"B Wang, Y Liu, B Chen, Y Liu, Z Gao… - … (CIDT 2025), 2026 - spiedigitallibrary.org",[],https://www.spiedigitallibrary.org/conference-proceedings-of-spie/14064/1406439/An-Onto-LLM-based-framework-for-automating-construction-supervision-specification/10.1117/12.3089127.short,unknown,unknown
Trustworthy knowledge graphs: Practices and approaches,"B Zhang, E Koutsiana, Y Zhao…",2025,10,"… for ontology engineering, and Wikidata Ontology Evaluation … knowledge engineering: schema-based knowledge graph … ?” and ”Why do LLM A and LLM B conflict on the triple constraint …",PHukhPgRkgwJ,"B Zhang, E Koutsiana, Y Zhao… - … AI and Knowledge …, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.3233/FAIA250215,unknown,unknown
Knowledge assessment and enhancement pathways for large language model in architectural design,"S Yan, X Wang, N Liu",2025,1,"… Citation2024). However, the capabilities and potential of … of the LLM model’s understanding of architectural knowledge through … of an AI-supported knowledge graph for urban landscape …",soh8_g9L4UYJ,"S Yan, X Wang, N Liu - … Architecture and Building Engineering, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/13467581.2025.2605783,unknown,unknown
Towards efficient Knowledge Graph-based Retrieval Augmented Generation for conversational agents,M Schaeffer,2025,1,"… basées sur les LLM. Nous démontrons l’intérêt … LLM pour construire des agents conversationnels précis, spécialisés et durables. Les contributions incluent OLAF pour une …",swk_FIxmEj0J,M Schaeffer - 2025 - theses.hal.science,[],https://theses.hal.science/tel-05063876/,unknown,unknown
